id,narrative,claim_type,severity,injury_reported,safety_critical,routing,notes
11752654,"The contact owns a 2021 Jeep Wrangler. The contact stated that while driving at various speeds, the temperature gauge rose significantly, indicating that the engine was overheating. The coolant temperature warning light remained illuminated. The vehicle was taken to a local dealer to be diagnosed, and the contact was informed that there were metal shavings inside the engine cylinders, and that the engine needed to be replaced. The vehicle was not repaired. The manufacturer was notified of the failure. The failure mileage 131,000.",,,,,,
11750281,"While traveling at the posted speed limit and approaching a signalized intersection, I attempted to brake for stopped traffic ahead. The vehicle did not decelerate as expected, and the automatic emergency braking/forward collision mitigation system did not activate or provide any braking assistance. Additionally, no forward collision warning or audible/visual alert was provided prior to impact. A red warning indicator illuminated immediately before the collision; however, there was insufficient time to take additional evasive action. As a result, my vehicle rear-ended the vehicle stopped in front of me. The apparent failure of the braking assistance and forward collision warning systems placed both myself and the occupants of the other vehicle at risk, resulting in a motor vehicle collision. The vehicle is available for inspection upon request. The cause of the malfunction has not yet been confirmed by a dealer or independent repair facility (UNKNOWN). The vehicle has been inspected by law enforcement and insurance representatives as part of the accident investigation. Prior to the incident, I had not observed any warning lamps, messages, or symptoms indicating a problem with the braking or forward collision systems. The only warning observed was the red indicator light that appeared immediately before the collision.",,,,,,
11743214,"I purchased a 2021 Ram 1500 North Edition (VIN: [XXX]) on XXX. As of last week, I noticed fluid leaking from under the engine compartment of the truck. I crawled under the truck and found that this five-year old truck has an oil pan that has rusted and rotted on the bottom and side leading to a leak of motor oil. I searched this online and found that this is a common issue amongst this model in this time frame and that it can cause a ""catastrophic"" loss of oil pressue while driving. I checked recalls and technical service bulletins and found no mention of this issue. Upon speaking with the service department of Hume's Chrysler, Jeep Dodge, and Ram of Waterford, PA, I was informed that they have seen this issue and that it is not covered by any warranty or recall because it's always caused by rust. This was only noticed because my wife's vehicle is in the shop and I parked in the garage causing me to notice it on the garage floor. My truck is normally parked in our gravel driveway and the oil leak went unnoticed. The truck was down approximately one-quart of oil when this was noticed. Had this not been noticed when it was, I fear that this issue could have caused an incident on the highway while the engine oil pressure was increased. INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)",,,,,,
11759453,"The contact owned a 2021 Nissan Rogue. The contact stated that while the vehicle was parked, the vehicle independently accelerated and the brakes failed to operate while the brake pedal was depressed, causing the front center of the vehicle to crash into a tree. No warning lights were illuminated. The air bags deployed as needed. The vehicle was deemed a total loss at the scene. Neither a Police report nor Fire Department report was filed. The contact was seated in the driver’s seat, and her husband was seated in the front passenger seat and sustained several injuries, including seat belt bruises and cuts on both arms and hands. The contact and her husband both sought medical attention. The manufacturer was not notified of the failure. The failure mileage was approximately 58,000.",,,,,,
11755649,I was driving on I25 south towards Albuquerque. I was changing lanes and another vehicle slammed into me causing me to crash into the guard rail. I was going 75 miles per hour at the time and my air bags did not deploy and my vehicle is very likely totaled. Due to airbags not deploying my head hit the steering wheel and window many times. The vehicle is available for inspection if requested.,,,,,,
11710342,"The contact owns a 2020 Toyota Camry Hybrid. The contact stated that while parked in the CVS drive-thru, the contact shifted the gear shift into reverse when the vehicle unintendedly accelerated in reverse, the brake pedal was depressed, and the vehicle was shifted into drive; however, the vehicle accelerated independently again, causing the contact to crash into the rear of the vehicle in front. No warning lights illuminated, but the contact was uncertain as the events occurred fast. No injuries were sustained. A police report was filed. The vehicle was towed to a dealer, where it was diagnosed; however, the diagnosis was unknown. The vehicle was not repaired. The manufacturer was not notified of the failure. The approximate failure mileage was 41,000.",,,,,,
11703886,"The contact owns a 2020 Nissan Altima. The contact stated that while driving at 55 MPH, the vehicle stalled in the middle of the expressway. The contact turned off and restarted the vehicle, and the engine started knocking significantly. There was no warning light illuminated. The contact was able to slowly pull over to the side of the road. The vehicle was towed to the residence. The vehicle was later driven to the dealer, where it was test-driven. The dealer informed the contact that there was smoke coming from the vehicle, and the engine needed to be replaced. The vehicle was not repaired and remained at the dealer. The contact related the failure to NHTSA Campaign Number: 25V437000 (Engine and Engine Cooling); however, the VIN was not included. The manufacturer was notified of the failure, and a case was filed. The failure mileage was unknown.",,,,,,
11676813,"..... ON AT LEAST 5 SEPERATE OCCASIONS OUR 2021 MAZDA CX5 SUV ACCELERATED TO A HIGH RATE OF SPEED (ON IT'S OWN). IT HAS DONE IT TO MY WIFE AND I BOTH. I CONTACTED TWO DIFFERENT MAZDA SERVICE CENTERS AND WAS ADVISED THEY HAVE NO KNOWLEDGE OF THIS AND THAT THERE ARE NO OPEN RECALLS OR TSB's AND AS INTERMITTENT AS IT IS IT WOULD BE ALMOST IMPOSSIBLE TO DUPLICATE. ON JULY 18TH THE CAR ACCELERATED (ON ITS OWN) AGAIN BUT THIS TIME IT DROVE MY WIFE INTO A TREE AT APROX. 35/40 MPH BREAKING HER RIBS. THE BODY SHOP INFORMED ME THIS MORNING THAT THE CAR IS A TOTAL LOSS. MAZDA NEEDS TO GET TO THE BOTTOM OF THIS AND RESOLVE THIS ISSUE ASAP. THIS TIME IT WAS A TREE, THE NEXT TIME IT MAY BE AT A CROSSWALK OR AT AN INTERSECTION. IT'S JUST A MATER OF TIME UNTIL SOMEONE IS KILLED OR AT THE VERY LEAST BADLY HURT. I DON'T KNOW HOW MAZDA CAN BE UNAWARE OF THIS PROBLEM, IT'S ALL OVER THE INTERNET. OUR BODY SHOP PULLED IT UP ON LINE AND WAS SHOCKED AT THE AMOUNT OF COMPLAINTS/ CONCERNS THAT EXISTED RELATED TO THIS PROBLEM. PLEASE INVESTIGATE THIS BECAUSE THE NEXT PERSON MAY NOT BE AS FORTUNATE. THANK YOU IN ADVANCE.",,,,,,
11747680,"Volkswagen corporate deployed a mandatory over-the-air (OTA) software update to the MIB3 infotainment system. The update failed mid-installation, entirely bricking the J794 information module. This failure completely disabled vital driver information systems, including the digital dash compass, all audio alerts, and driver notification tones while the vehicle is in motion. This represents an immediate, manufacturer-initiated distraction and safety hazard that disables cabin instrumentation.",,,,,,
11762945,"2020 Toyota Camry XSE, VIN [XXX], 2.5L 4-cylinder A25A-FKS engine, built at Toyota Motor Manufacturing Kentucky (TMMK) during the production window covered by NHTSA Recall 20V-064 (Toyota campaign 20TA04), which addresses porosity in engine castings that can cause internal and external coolant leaks, engine overheating, and possible engine failure. Toyota’s VIN lookup returns this vehicle as not affected by the campaign, but the failure pattern matches the recall defect exactly. Timeline of failures and repair attempts: XXX, at approximately 92,832 miles, Camelback Toyota in Phoenix, AZ (RO XXX). Check engine light active. Diagnosed DTC P268115 (Engine Coolant Bypass Valve Circuit, Short to Battery or Open). Battery also failed load test. Overheating symptom noted on the same repair order. Coolant bypass valve replacement recommended. Following that visit, water pump and thermostat were replaced at Berge Toyota (Mesa/Gilbert, AZ area). Camelback Toyota stated the vehicle was fixed. Vehicle overheated again the next day after being returned as repaired. XXX, at 93,034 miles, Camelback Toyota (RO XXX). Oil and filter change performed under good faith goodwill service, transmission fluid exchange completed. Overheating condition persisted. Vehicle continued to overheat through the summer and into September 2026. Current dealer now recommends head gasket replacement and states that if the head gasket does not resolve the overheating, the engine block is cracked and the engine will need replacement. Dealer describes the engine as “sucking air,” indicating combustion gases entering the cooling system and/or a compromised block-to-head seal. This failure sequence — persistent overheating, multiple failed repair attempts across two Toyota dealers, replacement of water pump, thermostat, and coolant bypass valve without resolution, and dealer conclusion pointing to a cracked engine block — matches the failure mode described in NHTSA Rec INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)",,,,,,
